"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número de Comprobante";"Tipo Doc. Vendedor";"Nro. Doc. Vendedor";"Denominación Vendedor";"Importe Total";"Moneda Original";"Tipo de Cambio";"Importe No Gravado";"Importe Exento";"Crédito Fiscal Computable";"Importe de Per. o Pagos a Cta. de Otros Imp. Nac.";"Importe de Percepciones de Ingresos Brutos";"Importe de Impuestos Municipales";"Importe de Percepciones o Pagos a Cuenta de IVA";"Importe de Impuestos Internos";"Importe Otros Tributos";"Neto Gravado IVA 0%";"Neto Gravado IVA 2,5%";"Importe IVA 2,5%";"Neto Gravado IVA 5%";"Importe IVA 5%";"Neto Gravado IVA 10,5%";"Importe IVA 10,5%";"Neto Gravado IVA 21%";"Importe IVA 21%";"Neto Gravado IVA 27%";"Importe IVA 27%";"Total Neto Gravado";"Total IVA"
2022-06-18;1;426;161365;80;00000000030500548041;"GRUPO PEnAFLOR SA";2900158,03;"PES";1,00;640318,30;0,00;382714,79;0,00;0,00;0,00;54673,54;0,00;0,00;;;;;;;;1822451,40;382714,79;;;1822451,40;382714,79
2022-06-18;1;426;161366;80;00000000030500548041;"GRUPO PEnAFLOR SA";2196186,85;"PES";1,00;0,00;0,00;371934,87;0,00;0,00;0,00;53133,55;0,00;0,00;;;;;;;;1771118,43;371934,87;;;1771118,43;371934,87
2022-06-25;1;426;162005;80;00000000030500548041;"GRUPO PEnAFLOR SA";2165016,34;"PES";1,00;0,00;0,00;366655,99;0,00;0,00;0,00;52379,43;0,00;0,00;;;;;;;;1745980,92;366655,99;;;1745980,92;366655,99
2022-06-25;1;426;161982;80;00000000030500548041;"GRUPO PEnAFLOR SA";4209754,00;"PES";1,00;0,00;0,00;712942,21;0,00;0,00;0,00;101848,89;0,00;0,00;;;;;;;;3394962,90;712942,21;;;3394962,90;712942,21
2022-06-25;1;426;161983;80;00000000030500548041;"GRUPO PEnAFLOR SA";2780445,09;"PES";1,00;0,00;0,00;470881,83;0,00;0,00;0,00;67268,83;0,00;0,00;;;;;;;;2242294,43;470881,83;;;2242294,43;470881,83
2022-06-25;1;426;162004;80;00000000030500548041;"GRUPO PEnAFLOR SA";4717321,52;"PES";1,00;82625,92;0,00;784908,13;0,00;0,00;0,00;112129,73;0,00;0,00;;;;;;;;3737657,74;784908,13;;;3737657,74;784908,13
2022-06-21;1;426;161585;80;00000000030500548041;"GRUPO PEnAFLOR SA";7427726,36;"PES";1,00;0,00;0,00;1257921,40;0,00;0,00;0,00;179703,06;0,00;0,00;;;;;;;;5990101,90;1257921,40;;;5990101,90;1257921,40
2022-06-14;1;422;20835;80;00000000030500548041;"GRUPO PEnAFLOR SA";4330067,09;"PES";1,00;-0,76;0,00;733317,97;0,00;0,00;0,00;104759,69;0,00;0,00;;;;;;;;3491990,35;733317,97;;;3491990,35;733317,97
2022-06-14;1;422;20837;80;00000000030500548041;"GRUPO PEnAFLOR SA";4330067,09;"PES";1,00;-0,76;0,00;733317,97;0,00;0,00;0,00;104759,69;0,00;0,00;;;;;;;;3491990,35;733317,97;;;3491990,35;733317,97
2022-06-13;1;426;161160;80;00000000030500548041;"GRUPO PEnAFLOR SA";359512,30;"PES";1,00;23570,14;0,00;56893,43;0,00;0,00;0,00;8127,63;0,00;0,00;;;;;;;;270921,10;56893,43;;;270921,10;56893,43
2022-06-13;1;426;161161;80;00000000030500548041;"GRUPO PEnAFLOR SA";292851,32;"PES";1,00;49136,13;0,00;41274,35;0,00;0,00;0,00;5896,34;0,00;0,00;;;;;;;;196544,50;41274,35;;;196544,50;41274,35
2022-06-13;1;426;161162;80;00000000030500548041;"GRUPO PEnAFLOR SA";1076108,65;"PES";1,00;180555,14;0,00;151666,32;0,00;0,00;0,00;21666,62;0,00;0,00;;;;;;;;722220,57;151666,32;;;722220,57;151666,32
2022-06-13;1;426;161163;80;00000000030500548041;"GRUPO PEnAFLOR SA";469434,27;"PES";1,00;78764,14;0,00;66161,88;0,00;0,00;0,00;9451,70;0,00;0,00;;;;;;;;315056,55;66161,88;;;315056,55;66161,88
2022-06-13;1;426;161164;80;00000000030500548041;"GRUPO PEnAFLOR SA";7432323,75;"PES";1,00;1247034,19;0,00;1047508,72;0,00;0,00;0,00;149644,10;0,00;0,00;;;;;;;;4988136,74;1047508,72;;;4988136,74;1047508,72
2022-06-13;1;426;161165;80;00000000030500548041;"GRUPO PEnAFLOR SA";2235401,82;"PES";1,00;375067,42;0,00;315056,63;0,00;0,00;0,00;45008,09;0,00;0,00;;;;;;;;1500269,68;315056,63;;;1500269,68;315056,63
2022-06-13;1;426;161166;80;00000000030500548041;"GRUPO PEnAFLOR SA";882197,94;"PES";1,00;57838,15;0,00;139609,32;0,00;0,00;0,00;19944,19;0,00;0,00;;;;;;;;664806,28;139609,32;;;664806,28;139609,32
2022-06-16;1;166;327559;80;00000000030708266430;"DREAMCO S. C. A.";1545747,70;"PES";1,00;0,00;0,00;268270,26;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1277477,43;268270,26;;;1277477,43;268270,26
2022-01-20;1;426;146987;80;00000000030500548041;"GRUPO PEnAFLOR SA";1134264,58;"PES";1,00;0,00;0,00;190556,45;0,00;36296,47;0,00;0,00;0,00;0,00;;;;;;;;907411,66;190556,45;;;907411,66;190556,45
2022-01-20;1;426;146988;80;00000000030500548041;"GRUPO PEnAFLOR SA";103498,52;"PES";1,00;0,00;0,00;17387,75;0,00;3311,95;0,00;0,00;0,00;0,00;;;;;;;;82798,82;17387,75;;;82798,82;17387,75
2022-01-20;1;426;146989;80;00000000030500548041;"GRUPO PEnAFLOR SA";170613,29;"PES";1,00;0,00;0,00;28663,03;0,00;5459,63;0,00;0,00;0,00;0,00;;;;;;;;136490,63;28663,03;;;136490,63;28663,03
2022-01-20;1;426;146990;80;00000000030500548041;"GRUPO PEnAFLOR SA";117296,43;"PES";1,00;0,00;0,00;19705,80;0,00;3753,49;0,00;0,00;0,00;0,00;;;;;;;;93837,14;19705,80;;;93837,14;19705,80
2022-01-20;1;426;146991;80;00000000030500548041;"GRUPO PEnAFLOR SA";315899,54;"PES";1,00;0,00;0,00;53071,12;0,00;10108,79;0,00;0,00;0,00;0,00;;;;;;;;252719,63;53071,12;;;252719,63;53071,12
2022-01-20;1;426;146992;80;00000000030500548041;"GRUPO PEnAFLOR SA";565154,80;"PES";1,00;0,00;0,00;94946,01;0,00;18084,95;0,00;0,00;0,00;0,00;;;;;;;;452123,84;94946,01;;;452123,84;94946,01
2022-01-20;1;426;146993;80;00000000030500548041;"GRUPO PEnAFLOR SA";106632,76;"PES";1,00;0,00;0,00;17914,30;0,00;3412,25;0,00;0,00;0,00;0,00;;;;;;;;85306,21;17914,30;;;85306,21;17914,30
2022-01-20;1;426;146994;80;00000000030500548041;"GRUPO PEnAFLOR SA";553178,42;"PES";1,00;91585,83;0,00;76932,10;0,00;18317,17;0,00;0,00;0,00;0,00;;;;;;;;366343,32;76932,10;;;366343,32;76932,10
2022-01-20;1;422;20340;80;00000000030500548041;"GRUPO PEnAFLOR SA";2993697,67;"PES";1,00;0,00;0,00;502941,21;0,00;95798,33;0,00;0,00;0,00;0,00;;;;;;;;2394958,13;502941,21;;;2394958,13;502941,21
